,0
0,Name
1,RR_bins_1
2,RR_bins_2
3,RR_bins_3
4,Var_RR_intervals
5,Residuals
6,wavelet_coeff_1
7,wavelet_coeff_2
8,wavelet_coeff_3
9,wavelet_coeff_4
10,wavelet_coeff_5
11,wavelet_coeff_6
12,wavelet_coeff_7
13,wavelet_coeff_8
14,wavelet_coeff_9
15,wavelet_coeff_10
16,wavelet_coeff_11
17,wavelet_coeff_12
18,wavelet_coeff_13
19,wavelet_coeff_14
20,wavelet_coeff_15
21,wavelet_coeff_16
22,wavelet_coeff_17
23,wavelet_coeff_18
24,wavelet_coeff_19
25,wavelet_coeff_20
26,wavelet_coeff_21
27,wavelet_coeff_22
28,wavelet_coeff_23
29,wavelet_coeff_24
30,wavelet_coeff_25
31,wavelet_coeff_26
32,wavelet_coeff_27
33,wavelet_coeff_28
34,wavelet_coeff_29
35,wavelet_coeff_30
36,wavelet_coeff_31
37,wavelet_coeff_32
38,wavelet_coeff_33
39,wavelet_coeff_34
40,wavelet_coeff_35
41,wavelet_coeff_36
42,wavelet_coeff_37
43,wavelet_coeff_38
44,wavelet_coeff_39
45,wavelet_coeff_40
46,wavelet_coeff_41
47,wavelet_coeff_42
48,RRintervals_every_2nd
49,RRintervals_every_3rd
50,Mean_PHeights
51,Var_PHeights
52,PheightBins_1
53,PheightBins_2
54,PheightBins_3
55,Mean_PPintervals
56,Var_PPintervals
57,PPBinsN_1
58,PPBinsN_2
59,PPBinsN_3
60,Mean_PRintervals
61,Var_PRintervals
62,PRBinsN_1
63,PRBinsN_2
64,PRBinsN_3
