'Elapsed time','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
'hh:mm:ss.mmm','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV','mV'
'0:00.000',-0.244,-0.229,0.015,0.237,-0.130,-0.107,-0.044,-0.120,-0.056,0.106,0.197,0.195,-0.002,0.060,-0.009
'0:00.001',-0.242,-0.234,0.009,0.238,-0.126,-0.113,-0.042,-0.117,-0.051,0.110,0.202,0.198,-0.002,0.061,-0.010
'0:00.002',-0.241,-0.234,0.007,0.238,-0.124,-0.114,-0.044,-0.118,-0.053,0.110,0.201,0.197,-0.004,0.056,-0.009
'0:00.003',-0.241,-0.229,0.012,0.235,-0.126,-0.109,-0.045,-0.117,-0.051,0.112,0.201,0.197,-0.002,0.053,-0.008
'0:00.004',-0.232,-0.227,0.004,0.230,-0.118,-0.112,-0.045,-0.117,-0.050,0.112,0.200,0.199,0.001,0.054,-0.009
'0:00.005',-0.226,-0.233,-0.007,0.230,-0.110,-0.120,-0.051,-0.121,-0.053,0.107,0.196,0.194,0.000,0.056,-0.009
'0:00.006',-0.225,-0.236,-0.011,0.231,-0.106,-0.124,-0.052,-0.121,-0.054,0.106,0.194,0.193,0.001,0.058,-0.008
'0:00.007',-0.234,-0.234,0.001,0.234,-0.117,-0.117,-0.049,-0.117,-0.051,0.112,0.199,0.199,0.002,0.052,-0.008
'0:00.008',-0.234,-0.233,0.002,0.234,-0.118,-0.116,-0.051,-0.118,-0.050,0.111,0.201,0.197,0.001,0.048,-0.007
'0:00.009',-0.224,-0.235,-0.012,0.230,-0.105,-0.124,-0.055,-0.120,-0.054,0.108,0.198,0.194,0.000,0.049,-0.006
'0:00.010',-0.221,-0.231,-0.011,0.226,-0.104,-0.121,-0.054,-0.123,-0.054,0.109,0.199,0.195,0.001,0.053,-0.007
'0:00.011',-0.227,-0.228,-0.001,0.228,-0.113,-0.115,-0.057,-0.122,-0.053,0.108,0.198,0.196,0.003,0.062,-0.005
'0:00.012',-0.232,-0.226,0.006,0.229,-0.119,-0.110,-0.053,-0.119,-0.052,0.109,0.198,0.198,0.003,0.061,-0.005
'0:00.013',-0.237,-0.230,0.008,0.234,-0.122,-0.112,-0.051,-0.120,-0.051,0.111,0.199,0.199,0.001,0.050,-0.005
